종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
140860,파크시스템스,"231,000","500","0.22","2,477,625,250","1,614,684,687,000"
091700,파트론,"6,580","-150","2.23","1,164,874,175","375,060,000,000"
263750,펄어비스,"36,600","-1,000","2.66","5,691,380,850","2,351,471,493,000"
087010,펩트론,"192,000","-5,800","2.93","46,435,710,350","4,473,091,200,000"
009520,포스코엠텍,"11,230","-130","1.14","745,781,300","467,647,554,690"
053610,프로텍,"22,600","-700","3.00","405,522,950","248,600,000,000"
319660,피에스케이,"18,310","-690","3.63","2,528,382,630","530,380,533,340"
031980,피에스케이홀딩스,"32,000","-2,300","6.71","6,887,006,000","689,996,640,000"
137400,피엔티,"35,700","-950","2.59","5,560,931,375","847,628,170,200"
067310,하나마이크론,"10,900","-320","2.85","3,665,041,760","722,364,244,100"
166090,하나머티리얼즈,"29,425","-825","2.73","2,152,167,600","581,958,057,450"
003380,하림지주,"7,240","200","2.84","24,938,342,110","810,920,696,040"
030520,한글과컴퓨터,"22,300","300","1.36","5,312,731,425","539,208,291,200"
048410,현대바이오,"11,420","720","6.73","6,827,403,915","548,406,763,360"
145020,휴젤,"339,000","-7,500","2.16","11,404,600,000","4,272,767,187,000"
