종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
259960,크래프톤,"370,500","-12,000","3.14","37,099,178,500","17,753,692,729,500"
022100,포스코DX,"22,050","-450","2.00","4,693,735,725","3,352,365,774,450"
047050,포스코인터내셔널,"48,350","1,500","3.20","23,780,833,550","8,505,866,799,800"
003670,포스코퓨처엠,"114,500","3,500","3.15","34,219,542,250","8,869,538,690,000"
086790,하나금융지주,"66,200","200","0.30","30,344,849,950","19,015,346,256,000"
352820,하이브,"271,000","-3,500","1.28","25,634,565,250","11,287,718,287,000"
036460,한국가스공사,"36,700","0","0.00","7,250,907,250","3,387,887,100,000"
071050,한국금융지주,"94,500","0","0.00","15,138,558,100","5,266,106,244,000"
015760,한국전력,"28,600","600","2.14","153,095,230,000","18,360,172,602,200"
161390,한국타이어앤테크놀로지,"40,550","400","1.00","22,940,392,300","5,023,134,047,950"
047810,한국항공우주,"88,900","-1,200","1.33","55,408,353,300","8,665,537,012,300"
042700,한미반도체,"85,200","-6,300","6.89","157,726,599,750","8,231,534,866,800"
128940,한미약품,"285,000","-8,000","2.73","13,702,943,000","3,651,132,435,000"
018880,한온시스템,"3,360","-100","2.89","1,687,465,033","2,280,642,174,720"
180640,한진칼,"114,600","-8,100","6.60","31,396,932,200","7,650,957,173,400"
009830,한화솔루션,"38,800","400","1.04","114,610,622,000","6,669,430,396,800"
012450,한화에어로스페이스,"836,000","-5,000","0.59","75,248,915,500","39,539,624,036,000"
042660,한화오션,"78,800","-2,400","2.96","113,691,938,250","24,145,375,447,200"
000720,현대건설,"45,350","750","1.68","36,131,481,325","5,049,983,942,750"
086280,현대글로비스,"111,200","-1,400","1.24","8,778,911,500","8,340,000,000,000"
064350,현대로템,"108,800","-5,100","4.48","82,430,719,800","11,874,681,478,400"
012330,현대모비스,"249,000","-6,000","2.35","17,623,726,250","23,155,778,406,000"
004020,현대제철,"24,450","-550","2.20","4,164,066,550","3,262,749,443,250"
005380,현대차,"190,700","-3,100","1.60","54,329,776,950","39,935,667,623,700"
